date,description,amount
2024-01-15,Whole Foods Market - Organic Groceries,87.50
2024-01-16,Shell Gas Station - Fuel,45.00
2024-01-10,United Airlines - Flight to NYC,350.00
2024-01-17,Starbucks Coffee,6.75
2024-01-12,Amazon - Electronics,129.99
2024-01-13,Local Steakhouse - Dinner,95.00
2024-01-17,Uber Ride,18.50
2024-01-05,Electric Company - Monthly Bill,120.00
2024-01-11,H&M - Clothing,65.00
2024-01-16,Chipotle - Lunch,12.50
2024-01-14,Trader Joe's - Groceries,54.30
2024-01-15,Chevron - Gas,38.00
2024-01-08,Netflix - Subscription,15.49
2024-01-09,Target - Household Items,78.99
2024-01-16,Sweetgreen - Salad,14.25
2024-01-13,Lyft Ride,22.00
2024-01-07,Best Buy - Phone Charger,29.99
2024-01-12,McDonald's - Drive Thru,9.87
2024-01-06,Zara - Fashion,112.00
2024-01-17,Subway Fare,2.75
